,Division,Time,home_team,away_team,full_time_home_goals,full_time_away_goals,half_time_home_goals,half_time_away_goals,Referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_coef,draw_coef,away_coef
0,0,,152.0,426.0,0.0,0.0,0.0,0.0,-1,,,,,,,,,,,,,3.6276895846009176,3.577721408504487,2.1985997482429807
1,0,,216.0,341.0,2.0,2.0,0.0,1.0,-1,,,,,,,,,,,,,1.608321224921183,4.251999238385378,6.533804976242305
2,0,,223.0,119.0,2.0,2.0,2.0,0.0,-1,,,,,,,,,,,,,2.166811124586162,3.4865960822886413,3.8214668924519573
3,0,,68.0,137.0,2.0,1.0,0.0,1.0,-1,,,,,,,,,,,,,2.259243921392639,3.59240137050271,3.4601033030337716
4,1,,425.0,225.0,2.0,2.0,1.0,0.0,-1,13.0,11.0,5.0,7.0,18.0,15.0,4.0,10.0,3.0,4.0,1.0,0.0,2.4242779307516553,3.4141914191419143,3.2828763645595327
5,1,,393.0,300.0,0.0,0.0,0.0,0.0,-1,6.0,6.0,1.0,2.0,9.0,13.0,6.0,8.0,1.0,0.0,0.0,0.0,2.787162830613219,3.3750008094334616,2.8175682433108173
6,1,,239.0,140.0,0.0,0.0,0.0,0.0,-1,16.0,4.0,8.0,1.0,9.0,16.0,6.0,1.0,0.0,2.0,0.0,0.0,2.080238725185413,3.582069609709517,3.998117354746599
7,1,,211.0,424.0,2.0,0.0,1.0,0.0,-1,18.0,5.0,7.0,3.0,12.0,10.0,6.0,6.0,2.0,1.0,0.0,1.0,2.0998918555694384,3.4498223341497916,4.099788860873665
8,1,,99.0,5.0,1.0,0.0,0.0,0.0,-1,9.0,5.0,5.0,2.0,5.0,9.0,6.0,4.0,0.0,1.0,0.0,0.0,1.3129573826947913,5.8073115003808065,13.129573826947912
9,0,,303.0,382.0,1.0,0.0,1.0,0.0,-1,,,,,,,,,,,,,1.528474812952132,4.476952032775921,7.5536239143311805
10,0,,75.0,164.0,1.0,0.0,0.0,0.0,-1,,,,,,,,,,,,,2.597932907080592,3.3590460634518595,3.0546008009033527
11,0,,138.0,4.0,1.0,4.0,1.0,2.0,-1,,,,,,,,,,,,,1.7090093705285863,3.9608805411074295,5.800578863499966
12,0,,399.0,177.0,1.0,1.0,1.0,1.0,-1,,,,,,,,,,,,,2.289645268927811,3.454377862251959,3.5240627182628055
13,1,,141.0,217.0,3.0,0.0,1.0,0.0,-1,17.0,6.0,11.0,2.0,11.0,16.0,10.0,3.0,0.0,1.0,0.0,0.0,1.7147120849269042,4.034616670416245,5.5879440885265
14,0,,232.0,455.0,3.0,3.0,0.0,0.0,-1,,,,,,,,,,,,,1.8160780316950234,3.824924122620245,5.05255228929677
15,0,,164.0,399.0,1.0,1.0,0.0,0.0,-1,,,,,,,,,,,,,1.6035220875428822,4.325550322569379,6.443783203644545
16,0,,119.0,152.0,3.0,0.0,2.0,0.0,-1,,,,,,,,,,,,,1.8889724967367936,3.7678435362717853,4.6466703128284745
17,0,,4.0,232.0,1.0,2.0,1.0,2.0,-1,,,,,,,,,,,,,3.3028003640453916,3.565408344061233,2.3432712062952015
18,2,,483.0,305.0,1.0,1.0,0.0,0.0,-1,,,,,,,,,,,,,2.7137069758394707,3.73888516671216,2.673503909530738
