iter	MultiClass
0	1.080886313
1	1.067224494
2	1.05665439
3	1.047517608
4	1.040097545
5	1.033844757
6	1.02903931
7	1.024859298
8	1.021623827
9	1.0185948
10	1.016063279
11	1.01401681
12	1.012137668
13	1.010773689
14	1.009581955
15	1.008463679
16	1.007449236
17	1.006708619
18	1.006024318
19	1.005499314
20	1.004862488
21	1.004278669
22	1.003805351
23	1.003443617
24	1.003028124
25	1.002650104
26	1.002403638
27	1.002071127
28	1.00179322
29	1.001521241
30	1.001340166
31	1.001120844
32	1.000928061
33	1.000710095
34	1.000525938
35	1.000266832
36	1.000056952
37	0.9998232193
38	0.9996656019
39	0.9994754269
40	0.9993261162
41	0.9991554881
42	0.9989565899
43	0.9987359456
44	0.9985623317
45	0.9983378063
46	0.9981273074
47	0.9979806671
48	0.9978518355
49	0.9976721666
50	0.9975529469
51	0.9973530949
52	0.99724109
53	0.9970507553
54	0.9968504824
55	0.9966454555
56	0.9964920199
57	0.9963413758
58	0.9962394232
59	0.9960728564
60	0.995867544
61	0.9957553073
62	0.9956435119
63	0.9955772301
64	0.9954693765
65	0.9953849835
66	0.9952526891
67	0.9950909258
68	0.9949548433
69	0.9948213014
70	0.9946906019
71	0.9945295923
72	0.9943492873
73	0.9941612182
74	0.9939913277
75	0.9938860834
76	0.993752304
77	0.9936332637
78	0.9935173815
79	0.9934114299
80	0.9932771218
81	0.9931150449
82	0.9929477451
83	0.9928443321
84	0.9927898268
85	0.9926663141
86	0.9925294145
87	0.9923337791
88	0.9922223483
89	0.9920322643
90	0.9918992852
91	0.9918012897
92	0.9916899975
93	0.9915782442
94	0.9914637721
95	0.9913304997
96	0.9911868013
97	0.9910425672
98	0.9909720531
99	0.9908019237
100	0.990737946
101	0.9906359794
102	0.990455087
103	0.9903574623
104	0.9901897161
105	0.9900517786
106	0.9898647842
107	0.9897898951
108	0.9896716086
109	0.9895072329
110	0.989341004
111	0.9892439593
112	0.9891564811
113	0.9889482545
114	0.9888156952
115	0.9887097789
116	0.9885849075
117	0.9884765461
118	0.9883787714
119	0.9882552073
120	0.9880581471
121	0.9879807557
122	0.9878150723
123	0.9877134117
124	0.9875993565
125	0.9874543148
126	0.9872886921
127	0.9871666694
128	0.9870821618
129	0.987000505
130	0.9868205235
131	0.9867207808
132	0.9866265142
133	0.9864875519
134	0.9863560186
135	0.9861900373
136	0.9860845031
137	0.9859960982
138	0.9858995188
139	0.9858127745
140	0.9857117753
141	0.9856033267
142	0.9854999521
143	0.9853999122
144	0.9852870842
145	0.9851879148
146	0.9850426156
147	0.9848501422
148	0.9847140996
149	0.9845414347
150	0.9843041828
151	0.9841919292
152	0.9840753019
153	0.9839264673
154	0.9837985669
155	0.9836514624
156	0.9835185393
157	0.9833776211
158	0.9832480082
159	0.9830716712
160	0.9829855712
161	0.982876812
162	0.9827436672
163	0.9825640456
164	0.9824357838
165	0.9822665834
166	0.982147622
167	0.9820202842
168	0.9819209672
169	0.9818056567
170	0.9816963907
171	0.9816233202
172	0.9814896757
173	0.9813574508
174	0.9812454208
175	0.9811270485
176	0.9809607977
177	0.9808572815
178	0.9807275712
179	0.9805943462
180	0.9804500148
181	0.9803793591
182	0.9802432893
183	0.9801219217
184	0.9799807663
185	0.9798482917
186	0.979777578
187	0.979630951
188	0.97952887
189	0.9794676009
190	0.9793509432
191	0.9792436985
192	0.9791590355
193	0.9790345328
194	0.9789215152
195	0.9788025773
196	0.9786956446
197	0.9785655952
198	0.9784711392
199	0.9783009558
200	0.9781475468
201	0.978016137
202	0.9778791867
203	0.9777707483
204	0.9776491086
205	0.9775204595
206	0.9773572385
207	0.9772647143
208	0.9771655695
209	0.9770329234
210	0.9769264683
211	0.9768482959
212	0.9767147786
213	0.9766016247
214	0.9764776239
215	0.9764199064
216	0.9762435918
217	0.97606141
218	0.9759149631
219	0.9757680439
220	0.9756045246
221	0.9754840034
222	0.9753733049
223	0.9752474998
224	0.975129803
225	0.9750567211
226	0.9749414587
227	0.9748010437
228	0.9746316504
229	0.9745238373
230	0.9744254966
231	0.9743101122
232	0.974231908
233	0.9740596915
234	0.9739121774
235	0.9738492695
236	0.9737273281
237	0.9735997297
238	0.9735443927
239	0.9734141994
240	0.9732978178
241	0.9731217578
242	0.9730114899
243	0.9729165481
244	0.9728166527
245	0.9727059751
246	0.9726207414
247	0.9725064902
248	0.9723251791
249	0.9721864329
250	0.9720565697
251	0.9719312406
252	0.9718571622
253	0.9717254178
254	0.9716270712
255	0.9714215718
256	0.971259238
257	0.9711734115
258	0.9710757105
259	0.9709689578
260	0.9708628947
261	0.970693105
262	0.9706127453
263	0.9704776333
264	0.9703346281
265	0.9701852068
266	0.9700719394
267	0.9698977529
268	0.9697863948
269	0.9697063537
270	0.9695683885
271	0.9694691858
272	0.9693716327
273	0.9692636934
274	0.9691748019
275	0.968997623
276	0.9689151374
277	0.9688558968
278	0.9687614945
279	0.9686159346
280	0.968482188
281	0.968375853
