iter	Passed	Remaining
0	54	27339
1	67	16921
2	86	14251
3	107	13338
4	126	12569
5	142	11692
6	162	11467
7	185	11422
8	202	11039
9	219	10757
10	237	10551
11	255	10380
12	274	10298
13	292	10170
14	312	10092
15	327	9901
16	346	9850
17	366	9818
18	383	9697
19	399	9588
20	415	9487
21	431	9367
22	447	9275
23	464	9209
24	479	9109
25	496	9054
26	515	9029
27	530	8941
28	546	8869
29	564	8849
30	585	8857
31	602	8809
32	644	9121
33	669	9174
34	692	9195
35	711	9170
36	728	9114
37	743	9037
38	759	8979
39	774	8906
40	788	8825
41	806	8797
42	821	8727
43	842	8733
44	859	8685
45	873	8621
46	884	8522
47	899	8472
48	915	8425
49	931	8379
50	946	8335
51	962	8294
52	978	8255
53	995	8220
54	1011	8185
55	1028	8154
56	1045	8125
57	1063	8103
58	1092	8162
59	1109	8137
60	1124	8095
61	1144	8083
62	1162	8063
63	1178	8026
64	1194	7994
65	1209	7952
66	1226	7924
67	1241	7889
68	1273	7952
69	1319	8102
70	1339	8091
71	1358	8074
72	1375	8047
73	1394	8025
74	1421	8054
75	1444	8056
76	1470	8077
77	1493	8081
78	1512	8060
79	1538	8076
80	1557	8057
81	1571	8011
82	1589	7983
83	1604	7944
84	1619	7904
85	1634	7870
86	1650	7836
87	1666	7802
88	1679	7755
89	1695	7721
90	1713	7702
91	1726	7654
92	1741	7621
93	1756	7588
94	1772	7556
95	1798	7567
96	1809	7519
97	1825	7486
98	1841	7460
99	1858	7433
100	1878	7422
101	1900	7415
102	1917	7390
103	1968	7494
104	1984	7466
105	2000	7436
106	2015	7401
107	2031	7372
108	2044	7335
109	2058	7298
110	2073	7265
111	2090	7240
112	2113	7238
113	2133	7223
114	2153	7209
115	2174	7197
116	2195	7185
117	2215	7173
118	2234	7153
119	2252	7134
120	2272	7117
121	2286	7083
122	2302	7058
123	2317	7028
124	2335	7006
125	2353	6986
126	2368	6954
127	2383	6928
128	2401	6906
129	2418	6883
130	2435	6859
131	2451	6833
132	2468	6810
133	2484	6786
134	2501	6762
135	2517	6737
136	2535	6718
137	2552	6696
138	2566	6666
139	2582	6641
140	2599	6619
141	2615	6595
142	2632	6572
143	2647	6546
144	2663	6521
145	2680	6500
146	2697	6477
147	2712	6450
148	2727	6425
149	2743	6400
150	2756	6370
151	2768	6338
152	2785	6317
153	2802	6297
154	2824	6286
155	2837	6256
156	2853	6234
157	2872	6218
158	2895	6209
159	2919	6203
160	2941	6194
161	2962	6181
162	2986	6173
163	2999	6146
164	3022	6135
165	3041	6119
166	3060	6101
167	3077	6082
168	3095	6061
169	3117	6052
170	3135	6033
171	3150	6007
172	3171	5995
173	3193	5983
174	3210	5961
175	3234	5954
176	3258	5945
177	3275	5924
178	3295	5908
179	3310	5885
180	3327	5863
181	3345	5844
182	3360	5821
183	3377	5799
184	3393	5778
185	3407	5752
186	3425	5733
187	3440	5709
188	3455	5686
189	3471	5664
190	3484	5637
191	3499	5613
192	3515	5591
193	3534	5575
194	3555	5561
195	3577	5548
196	3592	5525
197	3609	5504
198	3623	5480
199	3637	5456
200	3652	5434
201	3668	5412
202	3684	5390
203	3698	5366
204	3716	5347
205	3731	5325
206	3746	5303
207	3761	5280
208	3779	5262
209	3802	5251
210	3817	5228
211	3828	5201
212	3847	5184
213	3860	5158
214	3874	5136
215	3891	5116
216	3915	5106
217	3932	5087
218	3951	5069
219	3966	5048
220	3986	5032
221	4005	5015
222	4029	5005
223	4044	4983
224	4063	4966
225	4082	4949
226	4100	4931
227	4119	4914
228	4138	4897
229	4154	4876
230	4170	4856
231	4187	4837
232	4203	4816
233	4220	4797
234	4242	4784
235	4261	4766
236	4281	4751
237	4299	4733
238	4314	4711
239	4330	4691
240	4346	4670
241	4363	4652
242	4380	4632
243	4400	4617
244	4419	4599
245	4434	4578
246	4449	4557
247	4465	4537
248	4484	4520
249	4499	4499
250	4515	4479
251	4532	4460
252	4549	4441
253	4566	4422
254	4583	4403
255	4607	4391
256	4625	4373
257	4637	4349
258	4652	4328
259	4676	4316
260	4686	4291
261	4700	4270
262	4717	4250
263	4733	4231
264	4749	4211
265	4769	4195
266	4782	4173
267	4798	4154
268	4814	4134
269	4829	4114
270	4847	4096
271	4862	4075
272	4879	4057
273	4895	4037
274	4911	4018
275	4927	3999
276	4941	3978
277	4958	3959
278	4974	3940
279	4992	3922
280	5008	3903
281	5024	3884
282	5041	3865
283	5055	3845
284	5069	3824
285	5085	3805
286	5101	3786
287	5121	3769
288	5136	3750
289	5154	3732
290	5166	3710
291	5182	3691
292	5199	3673
293	5214	3653
294	5236	3639
295	5254	3621
296	5271	3603
297	5289	3585
298	5306	3566
299	5321	3547
300	5333	3526
301	5354	3510
302	5367	3489
303	5381	3469
304	5395	3449
305	5411	3430
306	5430	3414
307	5447	3395
308	5462	3376
309	5478	3357
310	5492	3338
311	5511	3320
312	5535	3307
313	5557	3291
314	5573	3273
315	5591	3255
316	5605	3235
317	5622	3217
318	5634	3197
319	5651	3179
320	5667	3160
321	5683	3141
322	5699	3123
323	5714	3104
324	5731	3085
325	5741	3064
326	5763	3049
327	5778	3030
328	5796	3012
329	5813	2994
330	5830	2976
331	5843	2956
332	5856	2937
333	5871	2918
334	5887	2899
335	5902	2881
336	5919	2862
337	5933	2843
338	5949	2825
339	5965	2807
340	5978	2787
341	5991	2768
342	6005	2749
343	6024	2732
344	6038	2712
345	6053	2694
346	6071	2677
347	6088	2659
348	6104	2641
349	6119	2622
350	6137	2605
351	6152	2586
352	6168	2568
353	6184	2550
354	6201	2532
355	6227	2518
356	6239	2499
357	6254	2480
358	6267	2461
359	6283	2443
360	6300	2425
361	6317	2408
362	6332	2389
363	6348	2372
364	6365	2354
365	6381	2336
366	6399	2319
367	6414	2300
368	6432	2283
369	6448	2265
370	6467	2248
371	6488	2232
372	6508	2216
373	6523	2197
374	6544	2181
375	6562	2164
376	6579	2146
377	6596	2129
378	6614	2111
379	6629	2093
380	6647	2076
381	6664	2058
382	6680	2040
383	6696	2022
384	6714	2005
385	6729	1987
386	6743	1969
387	6763	1952
388	6780	1934
389	6795	1916
390	6810	1898
391	6825	1880
392	6842	1862
393	6857	1844
394	6870	1826
395	6883	1807
396	6897	1789
397	6913	1771
398	6930	1754
399	6946	1736
400	6962	1719
401	6978	1701
402	6996	1684
403	7012	1666
404	7029	1648
405	7046	1631
406	7061	1613
407	7086	1597
408	7103	1580
409	7120	1563
410	7133	1544
411	7149	1526
412	7168	1510
413	7184	1492
414	7195	1473
415	7213	1456
416	7233	1439
417	7253	1422
418	7272	1405
419	7287	1388
420	7304	1370
421	7319	1352
422	7333	1334
423	7351	1317
424	7369	1300
425	7385	1282
426	7399	1264
427	7416	1247
428	7430	1229
429	7449	1212
430	7460	1194
431	7480	1177
432	7493	1159
433	7507	1141
434	7524	1124
435	7541	1106
436	7556	1089
437	7573	1071
438	7589	1054
439	7607	1037
440	7621	1019
441	7637	1002
442	7653	984
443	7670	967
444	7685	949
445	7701	932
446	7716	914
447	7733	897
448	7749	880
449	7765	862
450	7777	845
451	7798	828
452	7810	810
453	7827	793
454	7839	775
455	7855	757
456	7870	740
457	7886	723
458	7902	705
459	7918	688
460	7931	670
461	7947	653
462	7960	636
463	7973	618
464	7986	601
465	8001	583
466	8020	566
467	8034	549
468	8049	532
469	8064	514
470	8077	497
471	8093	480
472	8106	462
473	8118	445
474	8133	428
475	8151	410
476	8165	393
477	8179	376
478	8192	359
479	8211	342
480	8227	324
481	8243	307
482	8258	290
483	8278	273
484	8292	256
485	8308	239
486	8320	222
487	8333	204
488	8349	187
489	8366	170
490	8381	153
491	8397	136
492	8412	119
493	8429	102
494	8447	85
495	8464	68
496	8480	51
497	8497	34
498	8513	17
499	8529	0
