id,dered_i,dered_z,dered_u,dered_g,dered_r,err_i,err_z,err_u,err_g,err_r,extinction_r,skyVersion,run,rerun,camCol,field,obj,photoz,#ra,dec,class
0,15.1459,14.9723,18.6394,16.408,15.4896,0.00195,0.00406,0.027960000000000002,0.00279,0.00197,0.27398,1,745,40,2,518,5,2.64988,236.22077000000002,-0.58795,0
1,17.3579,17.3498,18.5273,17.6527,17.4296,0.00757,0.024980000000000002,0.02484,0.00536,0.00577,0.26224000000000003,1,745,40,2,518,8,2.6343799999999997,236.22135,-0.4632,0
2,20.6154,19.7785,25.4019,23.4824,22.5504,0.10071000000000001,0.16768,0.7538100000000001,0.4638,0.35679,0.26225,1,745,40,2,518,9,1.6573799999999999,236.22055,-0.46434,0
3,15.0188,14.9927,16.7971,15.5712,15.1534,0.00183,0.00411,0.0082,0.00195,0.0017100000000000001,0.27651,1,745,40,2,518,12,2.28431,236.22224,-0.61553,0
4,20.3008,21.6454,23.7314,21.7139,20.9195,0.21194000000000002,1.8669799999999999,2.73388,0.27544,0.2174,0.2767,1,745,40,2,518,13,1.34673,236.22307,-0.6171,1
5,12.4762,12.2703,16.301,13.794,12.8355,0.00059,0.0010400000000000001,0.007109999999999999,0.0008300000000000001,0.00053,0.26471999999999996,1,745,40,2,518,16,2.79163,236.2227,-0.42041000000000006,0
6,19.8026,20.4925,21.3801,20.7581,20.5057,0.14511,0.98331,0.63946,0.13016,0.16938,0.26379,1,745,40,2,518,17,1.56869,236.22715,-0.42466000000000004,2
7,21.521,24.8211,23.1589,25.2317,26.945999999999998,0.541,1.28388,3.51811,2.8799200000000003,0.9217299999999999,0.26373,1,745,40,2,518,18,1.75605,236.2262,-0.42589,1
8,20.2159,20.3565,25.2933,22.9461,22.0407,0.25971,1.02389,2.94813,1.10199,0.8006300000000001,0.26413000000000003,1,745,40,2,518,19,1.1971100000000001,236.22571000000002,-0.42296000000000006,2
9,17.0175,17.0166,18.5808,17.4687,17.112000000000002,0.00591,0.01913,0.026330000000000003,0.00487,0.0047,0.26459,1,745,40,2,518,22,2.61233,236.22299999999998,-0.51303,0
10,15.9908,15.9565,17.6087,16.4943,16.1077,0.00324,0.008579999999999999,0.01385,0.0031,0.00286,0.27033,1,745,40,2,518,24,2.57698,236.2275,-0.5546399999999999,0
11,14.6973,14.5413,18.1583,15.8857,14.9896,0.00159,0.0031100000000000004,0.01967,0.00218,0.00158,0.27676999999999996,1,745,40,2,518,27,3.5880300000000003,236.22782999999998,-0.61157,0
12,21.6809,23.5958,22.6239,23.2657,22.381,0.6288,2.11613,1.49837,0.9587100000000001,0.72834,0.27654,1,745,40,2,518,28,1.1776200000000001,236.22714,-0.6093,2
13,16.8432,16.8204,18.2203,17.2015,16.922,0.0052,0.01621,0.02012,0.00418,0.00415,0.26237,1,745,40,2,518,30,2.4116400000000002,236.22985,-0.46943999999999997,0
14,11.6402,11.5271,14.5213,12.6931,11.8915,0.00042,0.00072,0.0026899999999999997,0.00037999999999999997,0.00029,0.26465,1,745,40,2,518,33,2.30586,236.23441,-0.50603,0
15,18.5374,18.4181,22.2021,19.707,18.8465,0.02074,0.0651,0.5757,0.02377,0.01756,0.26338,1,745,40,2,518,34,3.53096,236.22728999999998,-0.50095,0
16,18.7247,18.4477,20.3158,19.4925,19.1224,0.029480000000000003,0.08032,0.12947,0.02376,0.02635,0.26359,1,745,40,2,518,35,0.98736,236.22835,-0.5019100000000001,2
17,18.3636,18.4977,19.872,19.2034,18.7285,0.03572,0.1459,0.14817,0.02939,0.026289999999999997,0.26489,1,745,40,2,518,36,0.74068,236.24223999999998,-0.5025,2
18,19.7407,20.1679,21.3054,21.6305,20.4725,0.19635999999999998,0.64547,0.43493000000000004,0.37215,0.26438,0.26482,1,745,40,2,518,37,0.47598999999999997,236.23667999999998,-0.5058600000000001,0
19,20.7947,21.0293,24.2948,24.6257,23.3765,0.23429,0.64771,1.65641,0.99129,0.9813299999999999,0.26574000000000003,1,745,40,2,518,38,1.07202,236.23635,-0.51322,0
20,21.3253,20.2119,22.3465,22.8132,21.5649,0.60874,0.59316,1.1689200000000002,0.74129,0.34479,0.26454,1,745,40,2,518,39,0.89089,236.23802,-0.50272,1
