id,Gender,Travel,Age,Mode of reservation,Class,Distance Travelled,Departure/Arrival time convenient,Ease of Online booking,Platform Number,Food Service,Railway service,Seat comfort,Ticket-collector service,Washroom service,Baggage security score,Compartment safety score,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
93908,Male,frequent,44,online,first-class,3574.4,3,5,5,4,5,4,5,5,5,3,4,37,31.0,1
44467,Female,frequent,38,online,second-class,313.6,4,4,4,4,4,4,2,5,4,2,4,53,76.0,0
87068,Female,frequent,42,online,first-class,950.4000000000001,4,4,4,4,5,4,5,5,5,5,5,33,25.0,1
17230,Male,non-frequent,31,online,second-class,1395.2,3,3,5,4,3,4,4,2,2,1,4,32,28.0,0
20054,Male,non-frequent,25,online,second-class,540.8000000000001,5,5,3,4,5,1,3,5,2,2,4,0,0.0,1
78637,Male,frequent,15,offline,first-class,3475.2000000000003,4,3,4,1,3,4,4,3,4,4,1,0,1.0,0
32279,Female,frequent,47,online,first-class,6275.200000000001,1,1,1,5,4,1,5,5,3,1,3,0,0.0,1
2231,Male,frequent,66,offline,second-class,1027.2,4,3,1,4,3,4,5,2,4,4,4,59,59.0,0
50353,Male,frequent,38,online,second-class,419.20000000000005,2,2,2,4,4,4,4,2,4,3,4,0,19.0,0
21181,Male,frequent,43,online,first-class,307.20000000000005,5,0,2,5,2,1,3,3,3,5,2,89,81.0,1
28102,Male,non-frequent,28,online,second-class,1374.4,4,4,3,5,4,5,4,3,4,5,5,0,7.0,0
108911,Male,frequent,42,online,second-class,1988.8000000000002,5,5,5,1,2,1,4,5,3,1,1,57,33.0,0
4465,Male,frequent,57,online,second-class,968.0,3,3,3,1,1,1,4,5,4,3,1,21,18.0,0
100596,Male,frequent,7,offline,handicapped-class,777.6,3,4,2,2,4,1,1,5,3,4,2,0,0.0,0
46885,Female,frequent,30,online,first-class,1360.0,2,2,2,3,3,3,1,5,3,2,3,36,74.0,0
103502,Female,frequent,47,online,first-class,2009.6000000000001,3,3,3,3,4,4,5,5,5,3,4,47,33.0,1
97910,Female,non-frequent,32,online,first-class,772.8000000000001,1,1,1,1,1,1,3,3,5,5,1,7,0.0,0
29890,Female,frequent,29,online,first-class,862.4000000000001,3,3,3,3,4,3,2,4,4,4,3,0,0.0,1
53908,Male,frequent,40,offline,second-class,224.0,4,3,3,4,3,4,1,1,3,2,4,4,0.0,0
129812,Male,frequent,69,offline,second-class,715.2,5,1,2,4,1,4,4,2,4,4,4,0,0.0,0
78655,Female,frequent,46,offline,second-class,3475.2000000000003,5,3,2,3,4,5,5,3,5,5,4,3,0.0,0
6824,Male,frequent,54,offline,second-class,358.40000000000003,5,0,3,1,0,1,3,2,5,4,1,0,30.0,0
57551,Female,non-frequent,23,online,second-class,1812.8000000000002,2,2,2,1,2,1,5,3,4,3,1,102,83.0,0
59047,Female,frequent,50,online,first-class,2756.8,5,5,5,2,3,5,3,3,3,4,5,1,0.0,1
88521,Male,frequent,59,offline,second-class,1033.6000000000001,4,3,3,3,3,3,5,5,5,2,3,0,3.0,0
9449,Male,frequent,7,offline,second-class,579.2,4,0,5,3,0,3,3,4,5,4,3,0,0.0,1
121202,Female,non-frequent,26,online,handicapped-class,3843.2000000000003,2,2,4,2,2,2,2,4,3,2,2,0,19.0,0
51722,Male,frequent,20,offline,second-class,1041.6000000000001,1,4,4,4,1,1,4,4,4,1,1,144,137.0,0
77860,Male,frequent,62,offline,handicapped-class,1113.6000000000001,2,3,2,1,3,1,3,1,1,3,1,0,14.0,0
87725,Male,frequent,14,offline,handicapped-class,945.6,5,3,4,3,3,5,3,3,5,3,3,3,6.0,0
105447,Female,frequent,9,online,first-class,3385.6000000000004,4,4,4,3,3,3,2,5,3,4,3,5,13.0,0
79107,Female,frequent,47,offline,second-class,489.6,2,4,3,5,4,3,2,4,2,2,2,0,22.0,0
28938,Male,frequent,24,online,first-class,1564.8000000000002,3,3,3,2,2,2,4,5,3,1,2,37,21.0,0
14720,Female,frequent,66,offline,second-class,766.4000000000001,1,4,4,5,4,4,4,4,4,3,3,6,,1
81228,Female,non-frequent,44,online,first-class,356.8,2,2,1,3,2,3,5,4,4,5,3,0,13.0,0
112598,Male,frequent,27,online,first-class,1022.4000000000001,5,5,5,3,3,3,4,5,4,2,3,74,81.0,0
29632,Male,frequent,60,online,second-class,1812.8000000000002,4,1,1,3,3,3,2,5,3,1,3,0,0.0,0
21388,Male,frequent,29,offline,first-class,529.6,1,2,4,2,2,2,1,2,3,3,2,0,0.0,0
89742,Female,frequent,10,offline,second-class,1510.4,4,3,1,3,1,1,5,2,1,1,1,198,197.0,0
43625,Female,frequent,59,offline,second-class,403.20000000000005,2,1,3,3,3,3,2,1,2,1,1,0,0.0,0
53320,Male,frequent,29,offline,second-class,1441.6000000000001,1,2,4,1,2,1,2,3,4,3,1,0,0.0,0
12758,Female,frequent,49,offline,second-class,1153.6000000000001,4,3,4,1,4,2,2,3,5,3,5,0,0.0,0
33706,Male,non-frequent,20,online,second-class,1214.4,3,3,3,1,3,1,4,1,4,1,1,8,11.0,0
118105,Male,frequent,55,online,second-class,798.4000000000001,5,5,5,2,2,2,2,5,3,2,2,0,0.0,0
15310,Female,frequent,30,online,first-class,3528.0,2,2,2,2,2,2,5,5,4,5,2,0,0.0,1
108068,Male,frequent,42,offline,first-class,1358.4,4,3,3,4,4,4,4,3,4,4,3,24,16.0,0
99928,Female,frequent,43,online,first-class,5638.400000000001,2,2,2,3,4,3,2,2,2,4,3,9,0.0,0
89912,Female,non-frequent,29,online,first-class,2265.6,2,2,4,2,2,1,5,5,5,5,2,0,0.0,0
55086,Male,non-frequent,25,online,second-class,2206.4,3,3,3,1,3,1,2,5,4,3,1,5,0.0,0
24010,Female,non-frequent,22,online,first-class,899.2,4,2,3,1,2,1,4,5,3,1,1,53,36.0,0
121869,Female,non-frequent,62,online,second-class,585.6,2,2,3,3,2,3,2,3,3,1,3,0,0.0,0
60785,Female,frequent,42,online,handicapped-class,364.8,2,2,2,4,4,4,1,1,1,2,3,0,0.0,0
65192,Male,frequent,17,offline,second-class,395.20000000000005,4,2,4,2,2,2,5,2,4,3,2,1,0.0,0
83998,Male,frequent,70,offline,second-class,513.6,5,2,5,2,2,2,3,2,2,5,2,0,0.0,0
125239,Male,non-frequent,21,online,second-class,1838.4,4,4,3,1,4,1,2,4,4,2,1,15,31.0,0
99589,Male,frequent,25,offline,second-class,1488.0,4,2,3,2,2,1,5,2,4,5,2,3,22.0,0
13138,Female,frequent,56,offline,second-class,683.2,0,1,4,5,4,5,3,1,3,4,3,98,104.0,0
20991,Male,non-frequent,40,online,handicapped-class,1102.4,0,0,3,3,0,3,1,1,4,3,3,0,1.0,0
40950,Male,frequent,66,offline,handicapped-class,918.4000000000001,1,4,3,3,4,3,3,1,4,3,3,0,8.0,0
14462,Male,frequent,32,offline,second-class,1078.4,5,3,3,5,3,5,3,4,5,5,5,0,0.0,0
100188,Female,frequent,14,offline,second-class,1160.0,4,4,2,4,4,1,4,1,3,4,4,21,15.0,0
69883,Male,frequent,56,online,second-class,3596.8,4,2,4,2,2,2,1,4,4,2,2,0,0.0,0
3726,Male,frequent,36,offline,second-class,689.6,3,3,1,1,3,1,1,3,2,4,1,0,3.0,0
23044,Male,non-frequent,27,online,second-class,1332.8000000000002,3,3,3,3,3,3,2,4,4,3,3,209,191.0,0
36900,Male,non-frequent,27,online,second-class,3315.2000000000003,3,3,3,5,3,5,3,4,3,2,5,0,0.0,0
58708,Male,frequent,33,online,handicapped-class,6788.8,5,5,5,3,2,2,5,3,3,2,2,16,13.0,0
90664,Male,non-frequent,38,online,first-class,1033.6000000000001,2,2,3,3,2,1,5,5,5,3,3,0,0.0,0
93648,Male,non-frequent,23,online,second-class,875.2,5,4,2,3,4,3,4,3,5,5,3,0,0.0,0
80056,Female,frequent,59,offline,second-class,1520.0,3,4,5,4,1,1,5,4,5,2,1,0,0.0,0
5766,Male,frequent,51,offline,second-class,1027.2,5,1,1,2,1,2,4,4,5,4,2,0,0.0,0
95083,Male,frequent,42,offline,second-class,396.8,5,3,2,1,3,1,4,3,5,4,1,9,4.0,0
34088,Female,frequent,67,offline,second-class,3315.2000000000003,4,2,3,5,4,4,2,2,2,5,5,0,0.0,0
119738,Male,frequent,40,offline,second-class,2084.8,3,3,3,2,3,2,1,3,3,4,2,0,0.0,0
116620,Female,frequent,40,online,first-class,3667.2000000000003,1,1,1,3,4,4,4,4,4,3,3,6,0.0,1
6143,Female,frequent,48,online,first-class,654.4000000000001,5,5,5,4,3,4,2,2,2,3,2,60,56.0,0
70205,Female,frequent,13,offline,second-class,644.8000000000001,3,2,2,1,2,1,5,2,1,2,1,0,4.0,0
5063,Female,non-frequent,25,online,first-class,376.0,5,3,1,4,3,4,3,3,5,5,4,0,0.0,0
92496,Male,frequent,18,online,first-class,3115.2000000000003,3,3,3,4,4,4,5,4,3,4,4,0,0.0,1
66877,Female,frequent,52,online,first-class,3408.0,4,4,4,2,4,4,5,5,5,3,4,0,0.0,1
110259,Female,frequent,53,online,first-class,2862.4,5,5,5,4,4,5,2,2,2,3,4,59,56.0,1
94844,Male,non-frequent,44,online,first-class,382.40000000000003,2,2,4,3,2,3,5,5,4,3,3,1,0.0,0
