ids,bod,ammonium,silicon_dixoide,potassium_dichromate,oxygen_saturation,conduct,nitrogen_dioxide,hardness,nitrate,carbon_dioxide,potassium_permanganate,chlorine,phosphate,oxygen,standard_ph,standard_temperature,38100,57500,55800,59300,29600,33400,25400,19400,50390,37880,17300,49700,34500,30400
0,0.203595677156795,0.23204356410546306,1.66332396686902,0.841600371646971,4.44680855469595,2.973240868994,0.403047084780043,3.54643298312613,2.36222195210906,0.0,1.02699042036879,1.4595332631350801,0.189460454356621,5.3437058145912495,23.7220525901153,0.662302529581739,0,1,1,1,0,0,1,1,1,1,0,1,1,0
1,0.24785560697349002,0.09703639953501199,3.18803760316561,0.707709403430407,4.15747666675277,2.74095642610384,0.4606252397486211,2.9553608192717795,3.098498924195,0.699282915265795,0.85132100635834,0.7763474803910001,0.31576742392770196,3.6453186952250403,23.421773443404998,3.2530741894161896,0,0,1,1,1,0,1,0,1,1,1,1,1,0
2,0.637342989360402,0.147664086248931,2.21776528915869,0.937236777515945,3.80582714140644,2.8338702032598997,0.23031261987431,3.7040522268206297,2.05543988040658,0.815830067810094,1.18914680253228,1.46988456287363,0.39997207030842297,3.4796223908966297,23.421773443404998,2.8634844661328103,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3,0.230151635046812,0.30798509417634196,1.5247136362966,0.473400209051421,4.01948761250294,1.9047324316992802,0.633359704654353,2.52190789911192,1.41119752983138,0.42733955932909706,0.891860101899213,0.703888382221173,0.31576742392770196,3.8110149995534495,23.1214942966947,2.53233320134194,0,0,1,1,0,0,0,1,0,1,0,1,0,0
4,0.239003621010151,0.156102034034584,2.6682488635190498,0.583382075800741,4.50467493228458,3.0940287792968797,0.287890774842888,3.5858377940497594,2.30086553776856,0.42733955932909706,0.810781910817467,1.3663715654881599,0.189460454356621,5.3437058145912495,24.6228900302463,0.759699960402583,0,0,1,1,1,0,0,1,1,0,0,1,0,0
5,0.239003621010151,0.11813126899914501,2.21776528915869,0.363418342302101,4.2153430443414,2.6852081598102004,0.575781549685776,3.11298006296627,1.5952667728528702,0.155396203392399,0.986451324827918,0.859157878299374,0.08420464638072099,3.5624705430608397,24.322610883536,3.6231844265354,1,0,1,0,1,0,1,1,0,0,1,0,1,0
6,0.4425992981669461,0.156102034034584,2.5642911155897297,0.7459639657779971,3.51204399364875,3.4471011324899195,0.863672324528664,3.62524260497338,2.02476167323633,0.0,1.09455557960358,1.4491819633965302,0.842046463807206,2.8582612496650897,22.8212151499843,4.01277414981877,1,1,0,0,1,0,1,1,0,1,1,1,1,1
7,0.32752348064354,0.164539981820237,1.7326291321552199,0.7507457860714449,4.73614044263913,3.03828051300324,0.403047084780043,3.8222666595915,3.15985533853549,0.42733955932909706,1.2161728662262,1.54234366104345,0.10525580797590099,5.67509842324808,22.8212151499843,0.681782015745908,0,0,1,1,1,1,0,1,1,1,0,1,1,0
8,0.265559578900168,0.126569216784798,2.5989436982328398,0.411236545236588,4.54028501080067,2.59229438265414,0.575781549685776,3.3888137394316398,2.9757860955140094,2.7194335593669803,0.743216751582678,1.0868864725474,0.29471626233252196,4.63949652119551,21.920377709853398,1.90898964408854,0,0,1,1,0,0,0,1,0,1,1,1,1,0
9,0.212447663120134,0.2362625379982901,2.80685919409146,0.36820016259555,4.2153430443414,3.3263132221870286,0.403047084780043,3.74345703774425,4.6324092827073695,0.42733955932909706,0.72970371973572,1.41812806418089,0.31576742392770196,4.80519282552392,22.8212151499843,1.05189225286512,1,1,1,0,0,1,0,1,1,0,1,1,1,0
10,0.32752348064354,0.19407279907002398,1.6979765495121202,0.58816389609419,4.01058509287392,2.00693758657095,0.9212504794972408,2.48250308818829,1.8100142230446001,0.543886711873396,0.891860101899213,0.80740137960664,0.31576742392770196,3.76959092347135,22.520936003274002,2.61025114599862,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,0.203595677156795,0.126569216784798,2.11380754122937,0.506872951105562,3.93936493584176,1.88614967626807,0.7485160145915091,3.07357525204265,1.71797960153386,0.155396203392399,1.1215816432975,0.859157878299374,0.12630696957108098,3.35535016265032,23.7220525901153,3.54526648187872,1,0,1,0,0,0,1,1,1,0,1,1,1,1
12,0.318671494680201,0.084379477856532,2.4603333676604198,0.8272549107666249,6.129384764580902,3.33560459990264,0.4606252397486211,3.7040522268206297,2.60764760947104,0.0,1.10806861145054,1.59410015973619,0.421023231903603,4.72234467335971,24.322610883536,4.63611770707218,1,0,0,1,1,0,1,0,0,0,1,1,1,1
13,0.548823129727013,0.21516766853415692,1.5593662189396995,1.05200046455871,4.82516563892934,3.121902912443701,0.403047084780043,3.62524260497338,2.66900402381153,0.0,1.32427712100186,1.56304626052055,0.21051161595180198,5.79937065149439,22.8212151499843,0.662302529581739,0,0,0,1,0,0,1,1,1,1,1,1,1,0
14,0.19474369119345605,0.11391229510631802,3.15338502052251,0.6646730207893691,4.460162334139481,2.8524529586911203,0.4606252397486211,2.9947656301954,2.05543988040658,0.0,0.824294942664424,0.7763474803910001,0.31576742392770196,3.76959092347135,24.322610883536,3.6231844265354,0,0,1,1,0,0,0,1,1,0,1,1,1,1
15,0.230151635046812,0.11391229510631802,2.5296385329466298,0.502091130812113,4.04619517139001,2.3600099397639904,0.6909378596229311,3.11298006296627,2.51561298796029,2.05899969494929,0.878347070052256,1.11794037176304,0.35786974711806296,4.14240760821028,22.8212151499843,1.8895101579243705,1,0,1,0,0,0,0,1,0,0,1,1,0,0
16,0.088519859633389,0.11813126899914501,3.1187324378793995,0.7794367078321379,4.29546572100259,2.62945989351657,0.287890774842888,3.2705993066607704,2.63832581664128,0.155396203392399,0.702677656041805,1.0868864725474,0.10525580797590099,5.21943358634495,24.0223317368256,0.584384584925064,0,0,0,0,0,0,1,1,1,0,1,1,0,0
