ids,article,advertisement,conflict_of_interest,fan_point_of_view,press_release
0,"1DayLater was free, web based software that was focused on professional invoicing and collaborative working. It was aimed at companies of any size from solo workers to large business enterprises. The company was closed and customer data returned in October 2013. The main function of 1DayLater was to help users create invoices for clients. It could also be used to build quotes and estimates, to track time and other expenses, work to budgets, and to track projects. Multiple users could simultaneously work on the same projects together. The software was developed by two brothers, Paul and David King after they experienced similar frustrations while working freelance, the brothers wanted to create a product that would let them track time, expenses and business miles in a single online location. PC Magazine PCMag voted 1DayLater as one of the 'Best Free Software of 2010' 1DayLater Ltd was formed in 2009 and had one commercial product of the same name. The company remained privately held and located in Newcastle upon Tyne, United Kingdom. 1DayLater had the following press coverage BBC Webscape July 2010 Kate Russell gives her latest selection of the best sites on the World Wide Web PCMag March 2010 The best free software of 2010 Lifehacker February 2010 A worthy addition to our 'Top Ten Tips and Tools for Freelancers' Gigaom February 2010 Taking a closer look with 1DayLater The Journal Newspaper May 2009 Top Ten Brands of the North East UK Techcrunch January 2009 A 'feisty time tracking solution from the North East of England'",1,1,0,0
1,"The Jerusalem Biennale, as stated on the Biennial Foundation's website, is a platform for professional curators and artists to present contemporary works that relate, in one way or another, to the Jewish world of content. Every two years, a growing community of artists, art lovers, collectors, writers, researchers, and social activists gather in Jerusalem to celebrate Contemporary Jewish Art and to enjoy a variety of exhibitions, projects, site specific installations and events under this conceptual framework. The first Jerusalem Biennale, titled Does it Even Exist, was held on September 15th to October 31st, 2013. 59 artists participated in the Biennale, and the art was displayed in 6 different exhibitions around Jerusalem. About 150 artworks were displayed in the exhibition from the participating artists. Participating artists included Andi Arnovitz, Neta Elkayam, Shai Azoulay, Dov Abramson, and Tobi Kahn. 5,000 visitors attended and viewed the exhibitions, along with additional events such as music and dance performances, workshops, and debates. The Biennale was displayed in venues across Jerusalem including Hechal Shlomo, the First Station, Beit Avi Chai, Musrara, and Achim Hasid Co. It was covered by the Jerusalem Post, Jewish Business News, The Times of Israel, and Haaretz.",1,0,0,0
2,"3i Infotech Ltd established as ICICI Infotech Ltd is an Indian IT company, based in India. It was incorporated in 1993. 3i Infotech was promoted by ICICI Bank but ICICI divested majority of the shares of the company in March 2002. In 2015, the 3i Infotech shares continued to drop in value as ICICI keeps on trimming their stake in the company. The company provides software products, IT services and business process outsourcing for a variety of industries including insurance, banking, capital markets, mutual funds and asset management, wealth management, government, manufacturing and retail. These products and services include managed IT services, application software development and maintenance and IT consulting. The banking suite is known as Kastle and Insurance suite is known as Premia, for mutual fund its MFund, Orion is an ERP solution, Kastle ULS is a lending solution and Amlock is the anti money laundering solution. The Company also sells services such as business intelligence analytics services, infrastructure management services, testing compliance, application development maintenance, consulting and its BPO offerings. Orion is an ERP Software.",1,0,0,0
3,"The 8th Plague is the debut full length album of the Spanish extreme metal act Hybrid after the release of their previous EP Beyond Undeniable Entropy which features eight songs linked by an apocalyptic conceptual thread that represents human self destruction told through the stages of an insects metamorphosis. The album was recorded between June and July 2007 at Sadman Studio One Last Word, Ictvs, Adrift in Madrid by Carlos Santos and mastered by Alan Douches Suffocation, Mastodon at West West Side Music New York . Artwork is courtesy of Seldon Hunt Neurosis, Isis, Melvins . The album was released on August 8, 2008 through London based label Eyesofsound Behold... The Arctopus, Dysrythmia, Yakuza .",1,0,0,0
4,"9 Chickweed Lane is an American comic strip written and drawn by Brooke McEldowney following the fortunes of the women of three generations of the Burber family Edna, Juliette, and Edda. 9 Chickweed Lane is the address of the characters' former family home. The strip is syndicated by United Feature Syndicate a division of Andrews McMeel Syndication . It debuted on July 12, 1993, and won the National Cartoonists Society Award for Newspaper Strip in 2005. 9 Chickweed Lane has a spin off comic, Pibgorn. Syndicated by United Media, 9 Chickweed Lane debuted on Monday, July 12, 1993, though comics historian Don Markstein notes that some sources erroneously give August 2, 1993. 9 Chickweed Lane won the National Cartoonists Society Award for Newspaper Strip in 2005. Brooke McEldowney is also the creator of the webcomic Pibgorn, a spin off. The strips appear to share the same universe, with the character Thorax appearing in both series regularly, and almost the entire cast of Pibgorn showing up as guests at two Chickweed weddings in the strips of October 29, 2007 and August 28, 2017. 9 Chickweed Lane has been published in several hardcopy collections, most available from Pib Press. These include",0,0,1,0
5,"22squared is an American advertising agency. Its headquarters are located in Atlanta, Georgia with a second office in Tampa, Florida. The agency has several long standing Fortune 500 clients as well as a collection of travel, retail, non profit, casual dining and financial services clients. The original agency Tucker Wayne was founded in Atlanta in 1922 and has operated under several names during its lifetime. In 1996, Tucker Wayne merged with The West Group of Tampa, FL and formed WestWayne. Then in the summer of 2007, the agency rebranded as 22squared. Though the agency has operated under several names over its 90 year history, it has always been independent, with continuous operation under current senior management ownership. The agency is independent and privately held. Located in the Proscenium building in Midtown, Atlanta, the Atlanta 22squared workspace received accolades after its 2009 remodel. Designed by Gensler architectural firm to meet LEED Gold energy standards, facilitate collaboration, and reduce size, the 22squared Atlanta office was named one of the world's 10 most revolutionary offices by The Globe and Mail. It has also been featured in The New York Times, The Wall Street Journal, and Atlanta Business Chronicle. 2009 2010 2011 2012 2013 2014",1,0,0,0
6,"30 Boxes is a calendaring web application. The website was founded on August 1, 2005. The website supports drag and drop capabilities, one click editing, plain language event adding, as well as unique features aimed towards social networkers. Calendars can contain feeds from Twitter, Blogger, MySpace, Facebook, WordPress, Vox, and Upcoming.org, which generates a social timeline listing all of a user's recent online activity. Users can also import and export data as ics or csv files, or as an RSS feed. The website includes a plain language event adding feature, which allows users to type phrases such as Drinks with Richard, tomorrow, 7 9pm, Flute and Whistle. The website then translates the phrase into an event, determining the location, time, date, and description. Users can add buddies and share calendars with them. 30 Boxes features a simple webtop, which summarizes daily appointments and to do items. Users can also add applets to the page, such as Google search, Yahoo Mail, and Google Calendar, a competing online calendar service. 30 Boxes also offers a mobile version of their calendar. Barry Collins of The Sunday Times appreciated the website's plain language event adding feature, but did not appreciate that he was unable to see more than one month of events at a time. Collins was also unhappy that the website was not capable of warning him when he had two events scheduled at the same time. In a list of the best web based calendar software for small businesses, Forbes ranked 30 Boxes second, after Google Calendar. They described 30 Boxes like buying a new car with manual transmission and lots of extrasyou don't just want to drive it, you want to fool around with it to see what it can do.",1,0,0,0
7,"123 reg is headquartered in England and is a domain registrar and web hosting company. The company claims to be the UK's largest accredited domain registrar that provides Internet services to small and medium sized business. Up until 2017, 123 reg was part of Host Europe Group HEG , which at the time, was Europe's largest privately owned hosting company. In April 2017, GoDaddy Inc GDDY.N , a U.S. based website domain name provider, completed the acquisition of Host Europe Group HEG for 1.69 billion euros 1.82 billion 123 reg was founded in 2000 by Jonathan Brealey and Tim Brealey who prior to this also set up Webfusion Internet Solutions Ltd in 1997. According to the company's parent, 123 reg became the UK's largest domain registrar in 2004 and passed the 3 million domain names under management in 2012. On 16 April 2016, 123 reg admitted a major deletion of a large number of VPS servers caused by an error during what should have been routine maintenance. The event deleted hundreds of websites with users losing sites and access to data on their VPS service. By 24 April 2016 the situation was still ongoing. During this period 123 reg had a further data breach with customers being able to see the support tickets of other account holders",1,0,0,0
8,"321 Studios was a privately held company headquartered in St. Louis, Missouri with a sales office in Berkeley, California. The company was a leading provider of DVD authoring software, including the highly controversial DVD X Copy product line of DVD copy software. The DVDXCopy family of products enabled novice computer users to quickly and easily copy any DVD movie, including DVD movies protected with the Content Scrambling System CSS . 321 Studios' products were sold through most major North American and International retailers and worldwide through the company's website. In February 2004, after a three year legal battle with several of the major Hollywood studios, the DVDXCopy products were deemed by a California court to be in violation of the Digital Millennium Copyright Act DMCA in the case 321 Studios v. Metro Goldwyn Mayer Studios, Inc. and were banned from selling DVD Content Scrambling System circumvention software. The company was shut down on August 2004.",1,0,0,0
9,"The 624th Regional Support Group headquartered at Hickam Air Force Base, Hawaii, is one of two Air Force Reserve groups stationed in the Pacific area of responsibility and reports directly to Headquarters 4th Air Force at March Air Reserve Base, California. The 624th RSG is composed of a headquarters, four squadrons and one flight at Hickam Air Force Base, Hawaii, and Andersen Air Force Base, Guam. The 624th Regional Support Group officially stood up 1 Jan. 2002. The 624th RSG and its personnel came from multiple sources. Headquarters Air Force Reserve Command formed the group from Det. 1, 604th Regional Support Group. The 604th Aeromedical Staging Squadron 604th ASTS , the 604th Logistics Support Flight 604th LSF , and 704th Civil Engineer Squadron 704th CES at Hickam AFB, HI, became the 624th Aeromedical Staging Squadron 624 ASTS , 624th Logistics Support Flight 624th LSF inactivated and 624th Civil Engineer Squadron 624 CES . The 604th ASTS Operating Location OL A and Det 1, 604th LSF at Andersen AFB, Guam, became the 724th Aeromedical Staging Flight 724th ASTF and 724th Logistics Support Flight 724th LSF since inactivated . The 48th Aerial Port Squadron 48th APS at Hickam and the 44th Aerial Port Squadron 44th APS at Andersen both retained their designations.",1,0,0,0
